track_id,genres
2,21
3,21
5,21
10,10
20,"76, 103"
26,"76, 103"
30,"76, 103"
46,"76, 103"
48,"76, 103"
134,21
135,"45, 58"
136,"45, 58"
137,"1, 32"
138,"1, 32"
139,17
140,17
141,17
142,17
144,4
145,4
146,4
147,4
148,1
149,1
150,1
151,25
152,25
153,26
154,26
155,26
156,30
157,30
158,30
159,30
160,30
161,30
162,30
163,30
164,30
165,30
166,30
167,30
168,30
169,25
170,25
171,25
172,25
173,25
174,25
175,25
176,25
177,25
178,25
179,25
181,27
182,27
183,27
184,27
185,"27, 76"
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
200,17
201,17
202,17
203,17
204,17
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,17
213,10
226,25
228,25
236,"15, 92"
237,4
238,4
246,"12, 76"
247,12
248,"12, 76"
249,12
250,"12, 76"
251,"12, 76"
252,12
253,"12, 76"
254,"12, 76"
255,12
256,31
257,31
258,31
273,32
274,32
275,32
276,32
277,32
281,32
282,32
284,32
285,32
293,32
294,32
297,32
300,32
303,89
304,89
305,89
306,89
307,89
308,89
309,89
310,89
311,89
312,89
313,89
314,89
315,89
316,89
317,89
318,89
319,89
320,89
321,89
322,89
323,89
324,89
325,89
326,89
327,89
328,89
330,89
331,89
332,89
333,89
334,89
335,89
336,89
337,89
338,89
339,89
340,89
341,89
342,89
343,89
344,89
345,89
346,89
347,89
348,89
349,89
350,89
351,89
352,89
353,89
354,89
355,89
356,89
357,89
358,89
359,89
360,89
361,89
362,89
363,89
364,89
365,89
366,89
367,89
368,89
369,89
370,89
371,89
384,15
385,15
386,15
387,15
393,12
394,12
395,12
396,15
397,15
398,15
399,15
400,15
401,15
402,15
403,15
404,15
405,15
406,15
407,15
408,15
410,15
411,15
412,15
414,15
416,15
417,1
418,"1, 18"
419,1
420,"1, 18"
421,1
422,"1, 18"
423,"1, 18"
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,"4, 15, 38"
441,"4, 15, 38"
442,"4, 15, 38"
443,"4, 15, 38"
444,"4, 15, 38"
445,"4, 15, 38"
446,"4, 15, 38"
447,"4, 15, 38"
448,"4, 15, 38"
449,"4, 15, 38"
450,"4, 15, 38"
451,"4, 15, 38"
452,"4, 15, 38"
458,36
459,36
461,"3, 37"
462,"3, 37"
463,"3, 37"
464,"3, 37"
465,"3, 37"
466,27
467,"27, 66"
468,"25, 27"
469,"27, 66"
470,"27, 66"
471,27
472,"27, 66"
473,"27, 66"
474,"25, 27"
475,27
476,"27, 66"
477,"25, 27"
478,"27, 66"
479,"27, 66"
480,"25, 27"
481,"27, 66"
482,"27, 66"
483,"27, 66"
484,27
485,"25, 27"
486,"27, 66"
487,27
489,"27, 66"
490,"27, 66"
491,"27, 66"
492,"27, 66"
493,27
495,"25, 27"
496,"27, 66"
497,"27, 66"
498,"27, 66"
500,"27, 66"
501,27
502,"25, 27"
503,"27, 66"
504,"27, 66"
506,27
507,"27, 66"
508,"27, 66"
509,"27, 66"
510,"27, 66"
511,27
512,27
513,"27, 66"
514,"27, 66"
515,27
516,"27, 66"
517,27
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,15
533,15
534,17
535,17
536,17
537,17
538,17
539,17
540,17
541,17
542,17
543,17
544,17
545,17
546,17
547,17
548,17
549,17
550,15
554,"76, 103"
555,"76, 103"
556,"76, 103"
557,"76, 103"
558,"76, 103"
559,"76, 103"
560,"76, 103"
561,"76, 103"
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,12
570,12
571,12
572,12
573,25
574,25
575,12
576,12
577,12
578,12
579,25
580,25
583,21
584,21
585,21
586,21
587,1
588,1
589,1
590,37
591,37
592,37
593,37
601,17
602,17
603,17
604,17
605,12
606,12
607,12
608,12
609,12
610,17
611,17
612,17
614,17
615,41
616,41
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
633,12
634,12
635,12
637,1
638,1
639,1
640,43
641,15
642,15
643,15
644,15
645,15
646,15
647,15
648,15
649,15
650,15
651,15
652,15
653,15
654,15
655,15
656,15
657,15
658,15
659,15
660,15
661,15
662,15
663,15
664,15
665,15
666,79
667,79
668,21
669,21
670,21
671,21
672,21
673,21
674,21
675,21
676,21
677,21
678,21
679,21
680,21
681,21
682,21
683,21
684,21
685,21
686,21
687,21
688,21
689,21
690,12
691,12
692,12
693,12
694,21
695,21
696,45
697,45
698,45
699,45
700,45
701,45
702,45
703,45
704,46
705,46
706,46
707,46
708,46
709,46
711,25
712,25
713,25
714,17
715,17
716,17
717,17
718,17
719,12
720,12
721,12
722,12
723,12
725,32
726,32
727,32
728,32
729,32
730,32
731,32
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,11
743,11
744,11
745,11
747,11
748,11
749,11
750,11
751,11
752,11
753,11
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,11
763,11
764,11
765,11
766,11
767,11
768,11
769,11
770,11
771,11
772,11
773,11
774,11
775,11
776,11
777,12
778,12
779,12
780,12
781,12
782,12
783,12
784,12
785,12
786,12
787,12
788,12
789,12
790,12
791,12
792,12
793,12
794,12
795,12
796,12
797,12
798,12
799,38
800,38
801,38
803,25
804,25
805,25
806,25
807,25
814,17
815,1
816,1
817,1
818,1
819,1
820,1
821,10
822,10
823,10
824,"12, 45, 58, 66"
825,"12, 45, 58, 66"
826,"12, 45, 58, 66"
827,"12, 45, 58, 66"
828,"12, 45, 58, 66"
